epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,99.7423,0.4974,0.43628,0.89645,0.95213,0.625,0.72696,0.6599,0.57074,1.21138,0.94349,0.0045874,0.00152913,0.0045874,0.00152913,0.0045874,0.00152913,0.0045874,0.00152913
58,101.258,0.49358,0.56384,0.91155,0.97864,0.625,0.75744,0.67479,0.60651,1.08297,0.94703,0.00457294,0.00152431,0.00457294,0.00152431,0.00457294,0.00152431,0.00457294,0.00152431
59,102.77,0.48752,0.39506,0.90835,0.97225,0.625,0.78122,0.67812,0.67081,1.01406,0.99442,0.00455826,0.00151942,0.00455826,0.00151942,0.00455826,0.00151942,0.00455826,0.00151942
60,104.418,0.48949,0.40902,0.87216,0.96135,0.6875,0.85066,0.69746,0.71838,0.58237,0.983,0.00454335,0.00151445,0.00454335,0.00151445,0.00454335,0.00151445,0.00454335,0.00151445
61,105.968,0.45311,0.38293,0.84063,0.9597,0.6875,0.84672,0.69633,0.73236,0.58971,1.00273,0.00452822,0.00150941,0.00452822,0.00150941,0.00452822,0.00150941,0.00452822,0.00150941
62,107.468,0.42632,0.34269,0.85837,0.94756,0.76566,0.859,0.71248,0.7426,0.61615,1.00763,0.00451288,0.00150429,0.00451288,0.00150429,0.00451288,0.00150429,0.00451288,0.00150429
63,109.2,0.47187,0.4304,0.8984,0.94483,0.76653,0.87746,0.71941,0.73527,0.62346,0.99191,0.00449731,0.0014991,0.00449731,0.0014991,0.00449731,0.0014991,0.00449731,0.0014991
64,111.168,0.47156,0.44046,0.85325,0.98003,0.6875,0.84665,0.70817,0.73257,0.67404,0.96762,0.00448153,0.00149384,0.00448153,0.00149384,0.00448153,0.00149384,0.00448153,0.00149384
65,112.675,0.50704,0.45412,0.90663,0.97429,0.6875,0.85643,0.72173,0.71951,0.62683,0.97177,0.00446553,0.00148851,0.00446553,0.00148851,0.00446553,0.00148851,0.00446553,0.00148851
66,114.362,0.51518,0.51217,0.9637,0.96653,0.6875,0.86915,0.73228,0.75292,0.70954,0.9961,0.00444933,0.00148311,0.00444933,0.00148311,0.00444933,0.00148311,0.00444933,0.00148311
67,116.182,0.4404,0.39543,0.85377,0.97533,0.6875,0.80793,0.71493,0.63758,0.75386,0.87148,0.00443291,0.00147764,0.00443291,0.00147764,0.00443291,0.00147764,0.00443291,0.00147764
68,117.847,0.42283,0.39884,0.88491,0.97649,0.6875,0.82111,0.73911,0.58178,0.73941,0.8211,0.00441628,0.00147209,0.00441628,0.00147209,0.00441628,0.00147209,0.00441628,0.00147209
69,119.553,0.41305,0.35138,0.85279,0.97829,0.6875,0.83726,0.75392,0.57674,0.7275,0.81613,0.00439944,0.00146648,0.00439944,0.00146648,0.00439944,0.00146648,0.00439944,0.00146648
70,121.229,0.45203,0.39715,0.90324,0.98049,0.6875,0.80992,0.73411,0.56275,0.70448,0.80254,0.0043824,0.0014608,0.0043824,0.0014608,0.0043824,0.0014608,0.0043824,0.0014608
71,122.749,0.39738,0.32725,0.82634,0.90099,0.74541,0.84409,0.76992,0.56436,0.68338,0.80261,0.00436516,0.00145505,0.00436516,0.00145505,0.00436516,0.00145505,0.00436516,0.00145505
72,124.566,0.43663,0.35305,0.87356,0.94371,0.71151,0.80258,0.75312,0.55533,0.72442,0.80849,0.00434771,0.00144924,0.00434771,0.00144924,0.00434771,0.00144924,0.00434771,0.00144924
73,126.099,0.42099,0.34309,0.87331,0.95334,0.70399,0.80148,0.73986,0.562,0.74117,0.81138,0.00433006,0.00144335,0.00433006,0.00144335,0.00433006,0.00144335,0.00433006,0.00144335
74,127.618,0.47982,0.40681,0.91712,0.96654,0.69664,0.7943,0.73872,0.56493,0.77241,0.82061,0.00431222,0.00143741,0.00431222,0.00143741,0.00431222,0.00143741,0.00431222,0.00143741
75,129.164,0.43898,0.4153,0.91112,0.98001,0.6913,0.78736,0.74116,0.56416,0.79093,0.82245,0.00429418,0.00143139,0.00429418,0.00143139,0.00429418,0.00143139,0.00429418,0.00143139
76,130.824,0.45091,0.38819,0.89165,0.94917,0.70914,0.78228,0.73826,0.55019,0.78786,0.80791,0.00427594,0.00142531,0.00427594,0.00142531,0.00427594,0.00142531,0.00427594,0.00142531
77,132.311,0.32768,0.50123,0.69606,0.94355,0.71227,0.77583,0.73473,0.53685,0.80627,0.80222,0.00425752,0.00141917,0.00425752,0.00141917,0.00425752,0.00141917,0.00425752,0.00141917
78,133.796,0.45136,0.37692,0.89816,0.96566,0.69736,0.76321,0.70825,0.54826,0.83808,0.80403,0.0042389,0.00141297,0.0042389,0.00141297,0.0042389,0.00141297,0.0042389,0.00141297
79,135.281,0.37231,0.31541,0.86061,0.96562,0.70011,0.7603,0.71152,0.55682,0.86192,0.80484,0.0042201,0.0014067,0.0042201,0.0014067,0.0042201,0.0014067,0.0042201,0.0014067
80,136.942,0.4187,0.3268,0.859,0.89697,0.74487,0.75917,0.71553,0.56362,0.80882,0.81048,0.00420111,0.00140037,0.00420111,0.00140037,0.00420111,0.00140037,0.00420111,0.00140037
81,138.476,0.45525,0.40199,0.88617,0.90706,0.74409,0.75695,0.70403,0.56547,0.78816,0.81654,0.00418193,0.00139398,0.00418193,0.00139398,0.00418193,0.00139398,0.00418193,0.00139398
82,140.062,0.43147,0.32925,0.86357,0.89787,0.74472,0.75659,0.70214,0.54694,0.77146,0.80962,0.00416258,0.00138753,0.00416258,0.00138753,0.00416258,0.00138753,0.00416258,0.00138753
83,141.581,0.36334,0.37234,0.89729,0.87005,0.74949,0.75734,0.70279,0.53299,0.80371,0.80549,0.00414304,0.00138101,0.00414304,0.00138101,0.00414304,0.00138101,0.00414304,0.00138101
84,143.289,0.39328,0.30418,0.84184,0.87814,0.75,0.75734,0.71385,0.52053,0.78314,0.79217,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444,0.00412333,0.00137444
85,144.866,0.34774,0.31282,0.8714,0.90195,0.74459,0.75775,0.71636,0.52437,0.81734,0.79256,0.00410344,0.00136781,0.00410344,0.00136781,0.00410344,0.00136781,0.00410344,0.00136781
86,146.552,0.39417,0.33996,0.83869,0.93678,0.74039,0.75775,0.71633,0.53078,0.82251,0.80005,0.00408338,0.00136113,0.00408338,0.00136113,0.00408338,0.00136113,0.00408338,0.00136113
87,148.105,0.4009,0.31416,0.86369,0.93877,0.74294,0.75775,0.71627,0.53941,0.84056,0.80218,0.00406315,0.00135438,0.00406315,0.00135438,0.00406315,0.00135438,0.00406315,0.00135438
88,149.775,0.39939,0.30064,0.78863,0.94233,0.75,0.75866,0.71134,0.54901,0.82668,0.81712,0.00404275,0.00134758,0.00404275,0.00134758,0.00404275,0.00134758,0.00404275,0.00134758
89,151.256,0.32832,0.4007,0.67503,0.95581,0.75,0.76704,0.71206,0.56112,0.79714,0.82568,0.00402219,0.00134073,0.00402219,0.00134073,0.00402219,0.00134073,0.00402219,0.00134073
90,152.757,0.51901,0.61782,0.88728,0.9599,0.75,0.76279,0.70874,0.57725,0.78956,0.84032,0.00400146,0.00133382,0.00400146,0.00133382,0.00400146,0.00133382,0.00400146,0.00133382
91,154.262,0.40101,0.34705,0.86867,0.96485,0.75,0.76254,0.69911,0.59497,0.75505,0.85888,0.00398056,0.00132685,0.00398056,0.00132685,0.00398056,0.00132685,0.00398056,0.00132685
92,155.965,0.44153,0.39193,0.95775,0.96988,0.75,0.76398,0.71,0.6218,0.74583,0.88327,0.00395951,0.00131984,0.00395951,0.00131984,0.00395951,0.00131984,0.00395951,0.00131984
93,157.55,0.4224,0.34704,0.86564,0.97213,0.75,0.76524,0.71002,0.63342,0.72155,0.88967,0.0039383,0.00131277,0.0039383,0.00131277,0.0039383,0.00131277,0.0039383,0.00131277
94,159.101,0.3587,0.32099,0.88745,0.91402,0.75,0.75841,0.69973,0.66505,0.7781,0.92033,0.00391694,0.00130565,0.00391694,0.00130565,0.00391694,0.00130565,0.00391694,0.00130565
95,160.622,0.49676,0.46801,0.94538,0.96611,0.75,0.76761,0.67848,0.64865,0.73402,0.91174,0.00389542,0.00129847,0.00389542,0.00129847,0.00389542,0.00129847,0.00389542,0.00129847
96,162.289,0.41471,0.31477,0.82702,0.97248,0.74148,0.77121,0.68136,0.66749,0.77959,0.93413,0.00387376,0.00129125,0.00387376,0.00129125,0.00387376,0.00129125,0.00387376,0.00129125
97,163.806,0.44009,0.41776,0.899,0.90517,0.75,0.76298,0.67774,0.67847,0.79962,0.9511,0.00385194,0.00128398,0.00385194,0.00128398,0.00385194,0.00128398,0.00385194,0.00128398
98,165.342,0.37568,0.31638,0.85197,0.96399,0.74866,0.76965,0.69131,0.67674,0.77037,0.94253,0.00382998,0.00127666,0.00382998,0.00127666,0.00382998,0.00127666,0.00382998,0.00127666
99,166.883,0.43574,0.52277,0.87803,0.95525,0.75,0.76738,0.70298,0.66292,0.77553,0.93221,0.00380788,0.00126929,0.00380788,0.00126929,0.00380788,0.00126929,0.00380788,0.00126929
100,168.532,0.41569,0.341,0.88397,0.94741,0.75,0.77441,0.71216,0.66119,0.85514,0.92757,0.00378563,0.00126188,0.00378563,0.00126188,0.00378563,0.00126188,0.00378563,0.00126188
101,170.027,0.39276,0.29827,0.8409,0.94892,0.74914,0.77492,0.7134,0.62213,0.89957,0.89916,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
