epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1515.36,1.32566,0.73587,0.91984,0.77264,0.69051,0.73391,0.3848,1.11561,0.64767,0.73544,0.00972806,0.00972806,0.00972806
55,1542.57,1.32483,0.73355,0.91807,0.78089,0.69766,0.74211,0.39103,1.11225,0.64049,0.73562,0.0097178,0.0097178,0.0097178
56,1571.18,1.33475,0.73032,0.91628,0.77965,0.69759,0.74112,0.38731,1.11725,0.64337,0.73527,0.00970736,0.00970736,0.00970736
57,1598.48,1.33098,0.73269,0.92013,0.77787,0.69131,0.73772,0.39048,1.12075,0.64144,0.73525,0.00969673,0.00969673,0.00969673
58,1626.24,1.33081,0.72703,0.91798,0.78114,0.69102,0.73884,0.3888,1.11203,0.64273,0.73489,0.00968592,0.00968592,0.00968592
59,1654.21,1.33179,0.73595,0.91871,0.77439,0.69308,0.7372,0.38713,1.10836,0.64618,0.73378,0.00967493,0.00967493,0.00967493
60,1682.4,1.32792,0.73767,0.91756,0.78195,0.69035,0.73819,0.38858,1.11669,0.64625,0.73587,0.00966375,0.00966375,0.00966375
61,1710.16,1.32257,0.7314,0.91795,0.78067,0.69197,0.7372,0.38574,1.12668,0.64768,0.73684,0.00965239,0.00965239,0.00965239
62,1737.66,1.31854,0.72995,0.91566,0.78181,0.69522,0.73876,0.38917,1.10822,0.64103,0.73614,0.00964085,0.00964085,0.00964085
63,1765.44,1.32111,0.73576,0.91606,0.77347,0.69484,0.73915,0.39484,1.10566,0.63528,0.73333,0.00962913,0.00962913,0.00962913
64,1793.22,1.33086,0.73425,0.91511,0.77123,0.6991,0.74062,0.39366,1.11116,0.64195,0.73609,0.00961723,0.00961723,0.00961723
65,1820.68,1.32046,0.72669,0.91458,0.77404,0.68106,0.73191,0.38586,1.10644,0.64007,0.73586,0.00960515,0.00960515,0.00960515
66,1848.62,1.31885,0.73022,0.91716,0.78109,0.68685,0.73641,0.38744,1.11874,0.64608,0.73544,0.00959289,0.00959289,0.00959289
67,1876.32,1.32109,0.7305,0.91752,0.78487,0.68891,0.73272,0.3807,1.13903,0.65599,0.74096,0.00958044,0.00958044,0.00958044
68,1904.37,1.31572,0.72638,0.91502,0.77806,0.6956,0.73895,0.39009,1.11219,0.64807,0.73627,0.00956782,0.00956782,0.00956782
69,1931.48,1.31964,0.7225,0.91268,0.78142,0.69628,0.74083,0.39356,1.1117,0.64676,0.73722,0.00955502,0.00955502,0.00955502
70,1960.02,1.31826,0.72385,0.91552,0.77862,0.69304,0.73857,0.38628,1.13088,0.64265,0.7378,0.00954205,0.00954205,0.00954205
71,1988.64,1.32439,0.72493,0.9154,0.77519,0.69387,0.73641,0.38484,1.12402,0.64795,0.7394,0.00952889,0.00952889,0.00952889
72,2016.59,1.31346,0.72745,0.91635,0.76991,0.67832,0.72784,0.38032,1.11084,0.64201,0.73923,0.00951556,0.00951556,0.00951556
73,2044.73,1.31674,0.73239,0.91474,0.78039,0.69266,0.74065,0.39387,1.09428,0.64103,0.73681,0.00950206,0.00950206,0.00950206
74,2072.07,1.31884,0.73043,0.91657,0.76134,0.69,0.73273,0.3917,1.09594,0.6452,0.73562,0.00948837,0.00948837,0.00948837
75,2099.82,1.31395,0.72953,0.9144,0.77818,0.6923,0.73746,0.39169,1.10054,0.64434,0.73559,0.00947452,0.00947452,0.00947452
76,2127.57,1.31861,0.72621,0.91146,0.77178,0.69734,0.73983,0.39352,1.09277,0.63889,0.73477,0.00946048,0.00946048,0.00946048
77,2155.18,1.31262,0.72944,0.91312,0.77419,0.69504,0.73642,0.3899,1.11288,0.64505,0.7368,0.00944628,0.00944628,0.00944628
78,2183.49,1.31385,0.73247,0.91276,0.77844,0.69419,0.73238,0.38023,1.14217,0.6566,0.74019,0.00943189,0.00943189,0.00943189
79,2210.66,1.31253,0.72379,0.91361,0.77291,0.69376,0.73413,0.38322,1.1294,0.65651,0.7395,0.00941734,0.00941734,0.00941734
80,2238.48,1.31732,0.72754,0.91531,0.7753,0.69069,0.73552,0.38878,1.11424,0.6471,0.73612,0.00940262,0.00940262,0.00940262
81,2266.14,1.30549,0.72542,0.91187,0.77512,0.68858,0.73476,0.39077,1.11418,0.64054,0.73686,0.00938772,0.00938772,0.00938772
82,2293.74,1.31111,0.72499,0.91366,0.77862,0.69313,0.73855,0.39273,1.10744,0.63906,0.73342,0.00937265,0.00937265,0.00937265
83,2321.46,1.30649,0.72255,0.91046,0.77471,0.6913,0.7381,0.39286,1.10229,0.63644,0.73127,0.00935741,0.00935741,0.00935741
84,2349.1,1.31397,0.7311,0.91225,0.77616,0.6924,0.73227,0.38322,1.12707,0.64458,0.73961,0.009342,0.009342,0.009342
85,2377.27,1.30344,0.7204,0.9108,0.77044,0.69009,0.73356,0.38724,1.13071,0.64705,0.73836,0.00932642,0.00932642,0.00932642
86,2404.47,1.31455,0.7289,0.91449,0.77925,0.68945,0.73575,0.38838,1.11437,0.64085,0.73847,0.00931067,0.00931067,0.00931067
87,2432.48,1.3055,0.7179,0.90878,0.77319,0.6941,0.73549,0.38957,1.11528,0.64202,0.73689,0.00929476,0.00929476,0.00929476
88,2460.63,1.30504,0.72233,0.91148,0.77207,0.6834,0.73217,0.3886,1.11694,0.64178,0.73824,0.00927867,0.00927867,0.00927867
89,2488.02,1.30274,0.72295,0.91101,0.77752,0.68274,0.73349,0.38565,1.11521,0.63989,0.73689,0.00926242,0.00926242,0.00926242
90,2516.48,1.31253,0.72499,0.91022,0.7744,0.68885,0.73733,0.39036,1.11024,0.63833,0.7373,0.00924601,0.00924601,0.00924601
91,2544.21,1.30909,0.72511,0.91245,0.76675,0.68806,0.73155,0.38766,1.1118,0.64347,0.73714,0.00922942,0.00922942,0.00922942
92,2571.68,1.30573,0.72187,0.9091,0.77756,0.68974,0.7343,0.38601,1.12983,0.64431,0.73884,0.00921268,0.00921268,0.00921268
93,2598.68,1.30218,0.72028,0.91006,0.77381,0.68903,0.73707,0.39018,1.11343,0.64188,0.73745,0.00919576,0.00919576,0.00919576
94,2626.64,1.29305,0.72433,0.91114,0.77823,0.68815,0.73428,0.38732,1.11602,0.6451,0.73813,0.00917869,0.00917869,0.00917869
95,2654.89,1.29199,0.71998,0.91041,0.76996,0.6957,0.7396,0.39047,1.10084,0.64054,0.73775,0.00916145,0.00916145,0.00916145
96,2683.17,1.29036,0.71907,0.90897,0.77549,0.68377,0.73,0.38418,1.11068,0.64248,0.73741,0.00914405,0.00914405,0.00914405
97,2710.44,1.2848,0.71599,0.90702,0.76996,0.68679,0.72899,0.38073,1.12198,0.65044,0.74058,0.00912649,0.00912649,0.00912649
98,2737.64,1.30332,0.72333,0.91067,0.77682,0.68435,0.73474,0.38828,1.11537,0.64424,0.73918,0.00910876,0.00910876,0.00910876
99,2764.63,1.29706,0.72047,0.90982,0.7881,0.6891,0.7386,0.39412,1.11619,0.64155,0.7388,0.00909088,0.00909088,0.00909088
100,2791.81,1.2945,0.7171,0.90852,0.77376,0.69268,0.73772,0.39108,1.10873,0.63917,0.73581,0.00907284,0.00907284,0.00907284
101,2819.46,1.2912,0.7166,0.90664,0.77701,0.69075,0.73404,0.38378,1.12439,0.64655,0.73801,0.00905463,0.00905463,0.00905463
102,2846.3,1.29318,0.71739,0.90855,0.77013,0.68262,0.726,0.38034,1.12498,0.64408,0.73839,0.00903627,0.00903627,0.00903627
103,2873.3,1.28717,0.71632,0.91033,0.77968,0.67971,0.73161,0.38632,1.1202,0.64241,0.73598,0.00901776,0.00901776,0.00901776
104,2900.7,1.29087,0.71421,0.90808,0.77921,0.69496,0.73762,0.39086,1.10748,0.64199,0.73418,0.00899908,0.00899908,0.00899908
105,2928.22,1.28873,0.7134,0.91241,0.77567,0.69217,0.73745,0.38948,1.11084,0.64322,0.73898,0.00898025,0.00898025,0.00898025
106,2955.56,1.28739,0.7115,0.90671,0.77119,0.69859,0.73789,0.38948,1.11859,0.64349,0.73901,0.00896127,0.00896127,0.00896127
107,2983.41,1.29382,0.72169,0.91047,0.77773,0.69487,0.73919,0.39505,1.09909,0.63503,0.73569,0.00894213,0.00894213,0.00894213
108,3010.71,1.28885,0.71487,0.90676,0.77262,0.6949,0.73855,0.39334,1.10329,0.6395,0.73566,0.00892283,0.00892283,0.00892283
109,3037.67,1.29407,0.71951,0.90663,0.77903,0.68544,0.73815,0.39324,1.102,0.63716,0.73482,0.00890339,0.00890339,0.00890339
110,3065.59,1.29222,0.7164,0.90781,0.77407,0.69193,0.73621,0.38925,1.11526,0.63822,0.73756,0.00888379,0.00888379,0.00888379
