epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,853.474,0.5586,0.38067,0.82064,0.60633,0.94544,0.70137,0.6032,0.43338,871.082,0.67779,0.00406569,0.00135523,0.00406569,0.00135523,0.00406569,0.00135523,0.00406569,0.00135523
46,872.228,0.53397,0.37421,0.82268,0.60524,0.95066,0.70424,0.60623,0.43821,883.309,0.67694,0.00405571,0.0013519,0.00405571,0.0013519,0.00405571,0.0013519,0.00405571,0.0013519
47,890.907,0.55511,0.3814,0.82321,0.60394,0.95004,0.70619,0.60932,0.4336,887.31,0.6766,0.00404552,0.00134851,0.00404552,0.00134851,0.00404552,0.00134851,0.00404552,0.00134851
48,909.212,0.5497,0.37757,0.81783,0.60499,0.94124,0.70177,0.60172,0.4403,883.536,0.67824,0.00403512,0.00134504,0.00403512,0.00134504,0.00403512,0.00134504,0.00403512,0.00134504
49,927.559,0.54863,0.37297,0.81803,0.60341,0.94805,0.70388,0.60445,0.43601,893.089,0.67762,0.00402451,0.0013415,0.00402451,0.0013415,0.00402451,0.0013415,0.00402451,0.0013415
50,946.351,0.54644,0.37366,0.82006,0.60552,0.94302,0.70064,0.60113,0.43445,882.862,0.67726,0.00401371,0.0013379,0.00401371,0.0013379,0.00401371,0.0013379,0.00401371,0.0013379
51,964.486,0.5381,0.37299,0.81928,0.59966,0.95501,0.70032,0.60044,0.43457,879.525,0.67683,0.0040027,0.00133423,0.0040027,0.00133423,0.0040027,0.00133423,0.0040027,0.00133423
52,982.296,0.55211,0.37433,0.81396,0.59881,0.95607,0.69819,0.5978,0.43478,877.076,0.67693,0.00399149,0.0013305,0.00399149,0.0013305,0.00399149,0.0013305,0.00399149,0.0013305
53,1000.08,0.54168,0.37203,0.82007,0.60363,0.94475,0.69927,0.60029,0.43288,904.641,0.67623,0.00398007,0.00132669,0.00398007,0.00132669,0.00398007,0.00132669,0.00398007,0.00132669
54,1018.19,0.52922,0.36744,0.82018,0.60078,0.95485,0.70139,0.60189,0.43074,903.531,0.67609,0.00396846,0.00132282,0.00396846,0.00132282,0.00396846,0.00132282,0.00396846,0.00132282
55,1036.38,0.55387,0.37314,0.81658,0.60332,0.9583,0.70371,0.60422,0.4335,899.525,0.67575,0.00395665,0.00131888,0.00395665,0.00131888,0.00395665,0.00131888,0.00395665,0.00131888
56,1054.58,0.53692,0.36627,0.81327,0.60081,0.96363,0.70478,0.60384,0.43675,902.64,0.67615,0.00394465,0.00131488,0.00394465,0.00131488,0.00394465,0.00131488,0.00394465,0.00131488
57,1073.06,0.54461,0.36911,0.81535,0.60079,0.96224,0.70451,0.60575,0.434,898.636,0.67622,0.00393245,0.00131082,0.00393245,0.00131082,0.00393245,0.00131082,0.00393245,0.00131082
58,1091.38,0.54384,0.36769,0.81589,0.60285,0.95732,0.70145,0.60188,0.43585,897.526,0.67673,0.00392005,0.00130668,0.00392005,0.00130668,0.00392005,0.00130668,0.00392005,0.00130668
59,1109.69,0.54131,0.37067,0.81321,0.60302,0.96131,0.7018,0.60228,0.43019,916.421,0.67526,0.00390747,0.00130249,0.00390747,0.00130249,0.00390747,0.00130249,0.00390747,0.00130249
60,1128.31,0.53286,0.36006,0.81465,0.60296,0.95875,0.7007,0.60195,0.42898,911.083,0.6751,0.00389469,0.00129823,0.00389469,0.00129823,0.00389469,0.00129823,0.00389469,0.00129823
61,1146.4,0.53704,0.36471,0.81219,0.60451,0.95835,0.70184,0.60505,0.42691,908.857,0.67442,0.00388172,0.00129391,0.00388172,0.00129391,0.00388172,0.00129391,0.00388172,0.00129391
